"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6086","Login using CSV Data : Invalid login","chromium","2026-06-12","passed","2026-06-12","","LoginDataDriven.spec.ts","",""
"","7756","Login using CSV Data : Valid login","chromium","2026-06-12","passed","2026-06-12","","LoginDataDriven.spec.ts","",""
"","5572","Login using JSON Data : Invalid login","chromium","2026-06-12","passed","2026-06-12","","LoginDataDriven.spec.ts","",""
"","18550","Login using JSON Data : Invalid login @datadriven","chromium","2026-06-12","passed","2026-06-12","","LoginDataDriven.spec.ts","",""
"","20468","Login using CSV Data : Valid login @datadriven","chromium","2026-06-12","passed","2026-06-12","","LoginDataDriven.spec.ts","",""
"","5003","Product search test @master @regression","chromium","2026-06-13","passed","2026-06-13","","SearchProduct.spec.ts","",""
"","17954","Login using CSV Data : Invalid login @datadriven","chromium","2026-06-12","passed","2026-06-12","","LoginDataDriven.spec.ts","",""
"","16417","Account Registration","chromium","2026-06-12","passed","2026-06-12","","AccountRegistration.spec.ts","",""
"","6765","User logout test @master @regression","chromium","2026-06-13","passed","2026-06-13","","Logout.spec.ts","",""
"","8263","Login","chromium","2026-06-12","passed","2026-06-12","","Login.spec.ts","",""
"","7681","Login using JSON Data : Valid login","chromium","2026-06-12","passed","2026-06-12","","LoginDataDriven.spec.ts","",""
"","19290","Login using JSON Data : Valid login @datadriven","chromium","2026-06-12","passed","2026-06-12","","LoginDataDriven.spec.ts","",""
"","5819","Add product to cart test @master @regression","chromium","2026-06-13","passed","2026-06-13","","AddToCart.spec.ts","",""
"","16230","execute end-to-end test flow @end-to-end","chromium","2026-06-14","passed","2026-06-14","","EndToEnd.spec.ts","",""
